title,author_name,author_gender,pub_year,min_age,target_audience,character_gender,genre,character_type,source
Miss�Rumphius,Barbara Cooney,female,1982,5,preschool,female,fiction,human,A Mighty Girl
Miss Tizzy,Libba Moore Gray,female,1993,3,preschool,female,fiction,human,Childhood101
Missing Daddy,Mariame Kaba,female,2018,3,preschool,female,fiction,human,CBSD
Mister Magnolia,Quentin Blake,male,1980,5,preschool,male,fiction,human,Childhood101
Mister Orange,Truus Matti,female,2013,9,middle elementary,male,fiction,human,ALSC
Mister Seahorse ,Eric Carle,male,2004,4,preschool,male,fiction,non-human,Childhood101
Misunderstood Shark,Ame Dyckman,female,2018,3,preschool,male,fiction,non-human,Childhood101
Mitchell Goes Bowling,Hallie Durand,female,2013,3,preschool,male,fiction,human,ALSC
Moby Dick (Treasury of Illustrated Classics),Herman Melville,male,2004,7,early elementary,male,fiction,human,Paperback Swap
Mockingbird,Kathryn Erskine,female,2010,10,middle elementary,female,fiction,human,ALSC
Mog the Forgetful Cat,Judith Kerr,female,1970,2,infant/toddler,female,fiction,non-human,Childhood101
Molly Bannaky,Alice McGill,female,1999,4,preschool,female,fiction,human,ALSC
"Molly Rogers, Pirate Girl",Cornelia Funke,female,2017,3,preschool,female,fiction,human,Childhood101
Momentous Events in the Life of a Cactus,Dusti Bowling,female,2017,8,early elementary,female,fiction,human,Sterling Publishing
Mommy's Khimar,Jamilah Thompkins-Bigelow,female,2018,3,preschool,female,fiction,human,ALSC
Monet Paints a Day,Julie Danneberg,female,2012,6,early elementary,male,non-fiction,human,Charlesbridge
Monster Trouble!,Lane Frederickson,male,2015,4,preschool,female,fiction,human,Childhood101
Moo!,David LaRochelle,male,2013,4,preschool,female,fiction,non-human,ALSC
Moon Over Manifest,Clare Vanderpool,female,2010,8,early elementary,female,fiction,human,ALSC
Moon River,Tim Hopgood,male,2018,2,infant/toddler,female,fiction,human,Oxford
Moonbird: A Year on the Wind with the Great Survivor B95,Phillip Hoose,male,2012,10,middle elementary,male,non-fiction,non-human,ALSC
Moose,Max de Radigues,male,2013,13,teen,male,fiction,human,CBSD
Morbito: Guardian of the Spirit,Nahoko Uehashi,female,2008,12,late elementary,female,fiction,human,ALSC
More Than Anything Else,Marie Bradby,female,1995,4,preschool,male,fiction,human,ALSC
Moribito II: Guardian of the Darkness,Nahoko Uehashi,female,2009,12,late elementary,female,fiction,human,ALSC
Mortimer,Robert Munsch,male,1983,4,preschool,male,fiction,human,WCBC
Moses: When Harriet Tubman Led Her People to Freedom,Carole Boston Weatherford,female,2006,5,preschool,female,non-fiction,human,ALSC
Most Dangerous: Daniel Ellsberg and the Secret History of the Vietnam War,Steve Sheinkin,male,2015,12,late elementary,male,non-fiction,human,ALSC
"Moth and Wasp, Soil and Ocean: Remembering Chinese Scientist Pu Zhelong's Work for Sustainable Farming",Sigrid Schmaltzer,female,2018,6,early elementary,male,non-fiction,human,Goodreads
Mother Poems,Hope Anita Smith,female,2009,10,middle elementary,female,fiction,human,ALSC
"Mountain Chef: How One Man Lost His Groceries, Changed His Plans, and Helped Cook Up the National Park Service",Annette Bay Pimental,female,2016,6,early elementary,male,non-fiction,human,Charlesbridge
Mouse Soup,Arnold Lobel,male,1977,4,preschool,male,fiction,non-human,ALSC
Mousetronaut,Mark Kelly,male,2012,4,preschool,male,fiction,non-human,Childhood101
"Move Over, Rover",Karen Beaumont,female,2006,4,preschool,male,fiction,non-human,ALSC
Mr. Bear's ABC,Virginie Aracil,female,2018,2,infant/toddler,male,fiction,non-human,Parents
Mr. Brown Can Moo! Can You?,Dr. Seuss,male,1970,2,infant/toddler,male,fiction,human,WCBC
Mr. Brown Cow Can Moo! Can You?,Dr. Seuss,male,1996,2,infant/toddler,male,fiction,human,Gentle Nursery
Mr. Ferris and His�Wheel,Kathryn Gibbs Davis,female,2014,6,early elementary,male,non-fiction,human,Geek Wrapped
Mr. McGee and the Blackberry Jam,Pamela Allen,female,1993,12,late elementary,male,fiction,human,Childhood101
Mr. Putter & Tabby Turn the Page,Cynthia Rylant,female,2014,6,early elementary,male,fiction,human,ALSC
Mr. Putter and Tabby Pick the Pears,Cynthia Rylant,female,1995,6,early elementary,male,fiction,human,ALSC
Mr. Squirrel and the Moon,Sebastian Meschenmoser,male,2006,4,preschool,male,fiction,non-human,ALSC
Mr. Tickle,Roger Hargreaves,male,1971,3,preschool,male,fiction,non-human,Childhood101
Mr. Tiger Goes Wild,Peter Brown,male,2013,4,preschool,male,fiction,non-human,ALSC
Mr. Wuffles!,David Wiesner,male,2013,4,preschool,male,fiction,non-human,ALSC
Mrs. Frisby and the Rats of NIMH,Robert C. O�Brien,male,1971,8,early elementary,female,fiction,non-human,NYPL
Mrs. Harkness and the Panda,Alicia Potter,female,2012,5,preschool,female,non-fiction,human,Goodreads
Mrs. Noodlekugel,Daniel Pinkwater,male,2012,5,preschool,female,fiction,human,What Do We Do All Day
Ms. Bixby's Last Day,John David Anderson,male,2016,8,early elementary,female,fiction,human,ALSC
Mule Train Mail,Craig Brown,male,2009,4,preschool,male,fiction,human,Charlesbridge
Multiplying Menace: The Revenge of Rumpelstiltskin,Pam Calvert,female,2006,7,early elementary,male,fiction,human,Charlesbridge
Music Was It: Young Leonard Bernstein,Susan Goldman Rubin,female,2011,9,middle elementary,male,non-fiction,human,ALSC
Musical Mac,Brendan Kearney,male,2019,4,preschool,male,fiction,non-human,Sterling Publishing
Mussorgsky's Pictures at an Exhibition,Anna Harwell Celenza,female,2003,6,early elementary,male,non-fiction,human,Charlesbridge
Mustache Baby ,Bridget Heos,female,2013,0,infant/toddler,male,fiction,human,Childhood101
My Awesome Summer by P. Mantis,Paul Meisel,male,2017,4,preschool,female,fiction,non-human,Science Magazine
My Beijing: Four Stories of Everyday Wonder,Nie Jun,male,2018,3,preschool,female,fiction,human,ALSC
My Best Friends,Leilani Sparrow,female,2018,2,infant/toddler,male,fiction,non-human,Sterling Publishing
"My Big Bear, My Little Bear, and Me",Margarita del Mazo,female,2019,3,preschool,female,fiction,human,CBSD
My Big Shouting Day,Rebecca Patterson,female,2012,2,infant/toddler,female,fiction,human,Childhood101
My Brother Charlie,Holly Robinson Peete and Ryan Elizabeth Peete,female,2010,7,early elementary,female,non-fiction,human,Bookvine
"My Brother, Ant",Betsy Byars,female,1996,6,early elementary,male,fiction,human,ALSC
My Car,Byron Barton,male,2001,4,preschool,male,fiction,human,ALSC
"My Cat, The Silliest Cat in the World",Gilles Bachelet,male,2004,5,preschool,male,fiction,non-human,ALSC
My Chinatown: One Year in Poems,Kam Mak,male,2002,4,preschool,male,fiction,human,ALSC
"My Colors, My World",Maya Christina Gonzalez,female,2007,5,preschool,female,non-fiction,human,ALSC
My Dad,Anthony Browne,male,2000,5,preschool,male,fiction,human,Bookvine
My Family for the War,Anne Voorhoeve,female,2007,12,late elementary,female,fiction,human,ALSC
My Father's Arms Are a Boat,Stein Erik Lunde,male,2012,4,preschool,male,fiction,human,ALSC
My First Book About the Prophet Muhammad: Teachings for Toddlers and Young Children,Sara Khan,female,2019,1,infant/toddler,male,non-fiction,human,CBSD
My First Book About the Qur'an,Sara Khan,female,2017,3,preschool,male,non-fiction,human,CBSD
My Footprints,Bao Phi,male,2019,6,early elementary,female,fiction,human,ALSC
My Garden,Kevin Henkes,male,2010,2,infant/toddler,female,fiction,human,Today
My Grandma and Me,Mina Javaherbin,female,2019,4,preschool,female,fiction,human,ALSC
My Happy Life,Rose Lagercrantz,female,2010,5,preschool,female,fiction,human,ALSC
My Journey to the Stars,Scott Kelly,male,2017,5,preschool,male,non-fiction,human,Barnes & Noble
My Life as Lotta: A House Full of Rabbits,Alice Pantermuller,female,2019,10,middle elementary,female,fiction,human,Sterling Publishing
My Life as Lotta: How Lamb is That?,Alice Panterm�ller,female,2012,10,middle elementary,female,fiction,human,Sterling Publishing
My Life with the�Chimpanzees,Jane Goodall,female,1996,8,early elementary,female,non-fiction,human,A Mighty Girl
My Life with the Wave,Catherine Cowan,female,1997,4,preschool,male,fiction,human,ALSC
My Louisiana Sky,Kimberly Willis Holt,female,1998,9,middle elementary,female,fiction,human,ALSC
My Magic Wand: A Magical Sound Book!,Susy Zanella,female,2019,4,preschool,female,fiction,non-human,Sterling Publishing
My Mama Had a Dancing Heart,Libba Moore Gray,female,1995,4,preschool,female,fiction,human,ALSC
My Name is Gabito: The Life of Gabriel Garc�a M�rquez,Monica Brown,female,2007,4,preschool,male,non-fiction,human,ALSC
My Name is Georgia,Jeanette Winter,female,1998,4,preschool,female,non-fiction,human,ALSC
My Name is Georgia: A Portrait,Jeanette Winter,female,1998,4,preschool,female,non-fiction,human,Childhood101
My Name is Yoon,Helen Recorvits,female,2003,4,preschool,female,fiction,human,NYPL
My New York,Kathy Jakobsen,female,1993,4,preschool,female,fiction,human,Time Out
"My Painted House, My Friendly Chicken and Me",Maya Angelou,female,1994,3,preschool,female,non-fiction,human,Childhood101
My Papi Has a Motorcyle,Isabel Quintero,female,2019,4,preschool,female,fiction,human,Brightly
My Pen,Christopher Myers,male,2015,5,preschool,male,fiction,human,ALSC
My Pet Wants a Pet,Elise Broach,female,2018,5,preschool,male,fiction,human,Parents
My Real Name is Hanna,Tara Lynn Masih,female,2018,12,late elementary,female,fiction,human,CBSD
My Rotten Redheaded Older Brother,Patricia Polacco,female,1994,4,preschool,female,fiction,human,ALSC
My Rows and Piles of Coins,Tololwa Mollel,male,1999,4,preschool,male,fiction,human,ALSC
My Season with Penguins: An Antarctic Journal,Sophie Webb,female,2000,10,middle elementary,female,non-fiction,human,ALSC
My Sister Lives on the Mantelpiece,Annabel Pitcher,female,2011,12,late elementary,male,fiction,human,ALSC
"My Story, My Dance: Robert Battle's Journey to Alvin Ailey",Lesa Cline-Ransome,female,2015,5,preschool,male,non-fiction,human,ALSC
My Tata's Remedies,Roni Capin Rivera-Ashford,female,2015,3,preschool,male,fiction,human,ALSC
"My Teacher is a Monster! (No, I am Not)",Peter Brown,male,2014,4,preschool,male,fiction,human,ALSC
My Two Blankets,Irena Kobald,female,2014,6,early elementary,female,fiction,human,ALSC
My Wild Orchestra: A Magical Sound Book!,Susy Zanella,female,2019,4,preschool,male,fiction,non-human,Sterling Publishing
Mysterious Thelonious,Chris Raschka,male,1997,6,early elementary,male,non-fiction,human,ALSC
Naamah and the Ark at Night,Susan Campbell Bartoletti,female,2011,4,preschool,female,fiction,human,ALSC
Nana in the City,Lauren Castillo,female,2014,4,preschool,male,fiction,human,ALSC
Nana Upstairs and Nana Downstairs,Tomie dePaola,male,1973,4,preschool,male,fiction,human,Childhood101
Naptime,Iris De Mouy,female,2014,2,infant/toddler,female,fiction,human,ALSC
Nate the Great,Marjorie Weinman Sharmat,female,1972,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and Me: The Case of the Fleeing Fang,Marjorie Weinman Sharmat,female,1998,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Boring Beach Bag,Marjorie Weinman Sharmat,female,1987,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Fishy Prize,Marjorie Weinman Sharmat,female,1985,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Halloween Hunt,Marjorie Weinman Sharmat,female,1989,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Lost List,Marjorie Weinman Sharmat,female,1972,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Missing Key,Marjorie Weinman Sharmat,female,1981,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Monster Mess,Marjorie Weinman Sharmat,female,1999,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Mushy Valentine,Marjorie Weinman Sharmat,female,1994,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Musical Note,Marjorie Weinman Sharmat,female,1990,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Phony Clue,Marjorie Weinman Sharmat,female,1977,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Pillowcase,Marjorie Weinman Sharmat,female,1993,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Snowy Trail,Marjorie Weinman Sharmat,female,1982,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Sticky Case,Marjorie Weinman Sharmat,female,1978,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great and the Stolen Base,Marjorie Weinman Sharmat,female,1992,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great Goes Undercover,Marjorie Weinman Sharmat,female,1972,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great Saves the King of Sweden,Marjorie Weinman Sharmat,female,1997,4,preschool,male,fiction,human,Early Childhood Education Degrees
Nate the Great Stalks Stupidweed,Marjorie Weinman Sharmat,female,1986,4,preschool,male,fiction,human,Early Childhood Education Degrees
National Geographic Readers: Albert Einstein,Libby Romero,female,2016,6,early elementary,male,non-fiction,human,Barnes & Noble
National Geographic Readers: George Washington Carver,Jazynka Kitson,female,2016,4,preschool,male,non-fiction,human,Barnes & Noble
National Geographic Readers: Ibn al-Haytham: The Man Who Discovered How We See,Libby Romero,female,2016,6,early elementary,male,non-fiction,human,Barnes & Noble
National Geographic Readers: Thomas Edison,Barbara Kramer,female,2014,5,preschool,male,non-fiction,human,Barnes & Noble
National Velvet,Enid Bagnold,female,2002,8,early elementary,female,fiction,human,Paperback Swap
Nature's Friend: The Gwen Frostic Story,Lindsey McDivitt,female,2018,6,early elementary,female,non-fiction,human,A Mighty Girl
Nell and the Circus of Dreams,Nell Gifford,female,2019,2,infant/toddler,female,fiction,human,Oxford
Nelson Mandela,Kadir Nelson,male,2013,4,preschool,male,non-fiction,human,ALSC
Neo Leo: The Ageless Ideas of Leonardo Da Vinci,Gene Barretta,male,2009,4,preschool,male,non-fiction,human,Geek Wrapped
Nerdy Birdy,Aaron Reynolds,male,2015,4,preschool,male,fiction,non-human,Childhood101
Nest,Esther Ehrlich,female,2014,10,middle elementary,female,fiction,human,ALSC
Never Forgotten,Patricia McKissack,female,2011,9,middle elementary,male,fiction,human,ALSC
New Kid,Jerry Kraft,male,2019,8,early elementary,male,fiction,human,ALSC
New Neighbors for Nora,Johanna Hurwitz,female,1979,6,early elementary,female,fiction,human,What Do We Do All Day
Newspaper Hats,Phil Cummings,male,2015,3,preschool,female,fiction,human,Charlesbridge
Newton and Me,Lynne Mayer,female,2010,5,preschool,male,fiction,human,Growing Book by Book
Neymar: The Ultimate Fan Book,Nick Callow,male,2017,10,middle elementary,male,non-fiction,human,Sterling Publishing
Night Air,Ben Sears,male,2016,8,early elementary,male,fiction,human,CBSD
Night Cars,Matt Cohen,male,2006,4,preschool,male,fiction,human,Today's Parent
Night Flight: Amelia Earhart Crosses the Atlantic,Robert Burleigh,male,2011,4,preschool,female,non-fiction,human,ALSC
Night Job,Karen Hesse,female,2018,3,preschool,male,fiction,human,ALSC
Night Windows,Aart Jan Venema,male,2019,4,preschool,male,fiction,human,CBSD
Night Worker,Kate Banks,female,2000,3,preschool,male,fiction,human,ALSC
Night Zookeeper: The Elephant of Tusk Temple,Joshua Davidon,male,2019,7,early elementary,male,fiction,human,Oxford
Night Zookeeper: The Penguins of Igloo City,Joshua Davidson,male,2018,7,early elementary,male,fiction,human,Oxford
Nighttime Ninja,Barbara DaCosta,female,2012,5,preschool,male,fiction,human,ALSC
Nim and the War Effort,Milly Lee,female,1997,6,early elementary,female,fiction,human,ALSC
Nina: Jazz Legend and Civil Rights Activist Nina Simone,Alice Briere-Haquet,female,2017,4,preschool,female,non-fiction,human,Charlesbridge
Nine Open Arms,Benny Lindelauf,male,2014,11,late elementary,female,fiction,human,ALSC
Ninja Red Riding Hood,Corey Rosen Schwartz,female,2014,5,preschool,female,fiction,human,Childhood101
Nino Wrestles the World,Yuyi Morales,female,2013,4,preschool,male,fiction,human,ALSC
Ninth Ward,Jewell Parker Rhodes,female,2010,8,early elementary,female,fiction,human,ALSC
No Frogs in School,A. LaFaye,female,2018,4,preschool,male,fiction,human,Sterling Publishing
No Ordinary Day,Deborah Ellis,female,2011,9,middle elementary,female,fiction,human,ALSC
No Pretty Pictures: A Child of War,Anita Lobel,female,1998,8,early elementary,female,non-fiction,human,ALSC
No Small Potatoes: Junius G. Groves and His Kingdom in Kansas,Tonya Bolden,female,2018,8,early elementary,male,non-fiction,human,ALSC
"No tengas miedo, Cangrejita",Chris Haughton,male,2019,2,infant/toddler,female,fiction,non-human,CBSD
"No, David!",David Shannon,male,1998,2,infant/toddler,male,fiction,human,Today
Noah's Ark,Jerry Pinkney,male,2002,4,preschool,male,fiction,human,ALSC
Noisy Nora,Rosemary Wells,female,1994,3,preschool,female,fiction,non-human,Huffington Post
Noni the Pony,Alison Lester,female,2010,2,infant/toddler,female,fiction,non-human,Childhood101
Noodlephant,Jacob Kramer,male,2019,4,preschool,female,fiction,human,CBSD
Norman Rockwell: Storyteller with a Brush,Beverly Gherman,female,2000,8,early elementary,male,non-fiction,human,TIME
Nory Ryan's Song,Patricia Reilly Giff,female,2000,8,early elementary,female,fiction,human,ALSC
Not My Dog,Colby Rodowsky,female,1999,7,early elementary,female,fiction,human,ALSC
Not So Different: What You Really Want to Ask about Having a Disability,Shane Burcaw,male,2017,3,preschool,male,non-fiction,human,ALSC
Nothing,Janne Teller,female,2000,12,late elementary,male,fiction,human,ALSC
Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,Cheryl Bardoe,female,2018,4,preschool,female,non-fiction,human,Barnes & Noble
Now ,Antoinette Portis,female,2017,3,preschool,female,fiction,human,ALSC
Now &�Ben: The Modern Inventions of Benjamin Franklin,Gene Barretta,male,2006,5,preschool,male,non-fiction,human,Geek Wrapped
Nowhere Boy,Katherine Marsh,female,2018,11,late elementary,male,fiction,human,ALSC
Number the Stars,Lois Lowry,female,1989,9,middle elementary,female,fiction,human,TIME
Nya's Long Walk: A Step at a Time,Linda Sue Park,female,2019,4,preschool,female,fiction,human,ALSC
Odd Boy Out: Young Albert Einstein,Don Brown,male,2004,4,preschool,male,non-fiction,human,ALSC
Odd Dog,Fabien Ockto Lambert,male,2017,5,preschool,male,fiction,human,Sterling Publishing
Odd Man Out,Sarah Ellis,female,2006,9,middle elementary,male,fiction,human,ALSC
Of Numbers and Stars: The Story of Hypatia,D. Anne Love,female,2006,4,preschool,female,non-fiction,human,What Do We Do All Day
Of Thee I Sing: A Letter to My Daughters,Barack Obama,male,2010,4,preschool,male,fiction,human,Today
Officer Buckle & Gloria,Peggy Rathmann,female,1995,4,preschool,male,fiction,human,Huffington Post
Ogbo: Sharing Life in an African Village,Ifeoma Onyefulu,female,1996,6,early elementary,female,non-fiction,human,ALSC
Oh No! Or How My Science Project Destroyed the World,Mac Barnett,male,2010,3,preschool,female,fiction,human,Childhood101
Oh Say Can You Din-no-saur?,Bonnie Worth,female,1999,4,preschool,male,fiction,non-human,Childhood101
"Oh Where, Oh Where Has My Little Dog Gone?",Iza Trapani,female,1995,2,infant/toddler,male,fiction,non-human,Charlesbridge
"Oh, The Things They Invented",Bonnie Worth  ,female,2015,5,preschool,male,fiction,non-human,Barnes & Noble
Oi Cat!,Kes Gray and Jim Field,male,2019,5,preschool,male,fiction,non-human,Childhood101
Okay for Now,Gary Schmidt,male,2011,10,middle elementary,male,fiction,human,ALSC
Old Bear,Kevin Henkes,male,2008,2,infant/toddler,male,fiction,non-human,ALSC
Old Hat,Emily Gravett,female,2017,4,preschool,male,fiction,non-human,Bookvine
Old King Cole,Iza Trapani,female,2015,2,infant/toddler,male,fiction,human,Charlesbridge
Old Macdonald,Anthony Lewis,male,2008,5,preschool,male,fiction,human,Bookvine
Old MacDonald Had a...Zoo?,Iza Trapani,female,2017,2,infant/toddler,male,fiction,human,Charlesbridge
Old Mikamba Had a Farm,Rachel Isladora,female,2013,3,preschool,male,fiction,human,ALSC
Olive's Ocean,Kevin Henkes,male,2001,8,early elementary,female,fiction,human,ALSC
Oliver Twist ,John Malam,male,2006,9,middle elementary,male,fiction,human,Sterling Publishing
Olivia,Ian Falconer,male,2000,3,preschool,female,fiction,non-human,TIME
Olivia and the Fairy Princesses,Ian Falconer,male,2012,3,preschool,female,fiction,non-human,Childhood101
Olivia Opens a Lemonade Stand,Kama Einhorn,female,2010,4,preschool,female,fiction,non-human,Childhood101
Olivia Saves the Circus,Ian Falconer,male,1994,3,preschool,female,fiction,non-human,ALSC
Olivia the Spy,Ian Falconer,male,2017,4,preschool,female,fiction,non-human,Childhood101
Olivia�and the Missing Toy,Ian Falconer,male,2003,3,preschool,female,fiction,non-human,WCBC
Olivia's Birds: Saving the�Gulf,Olivia Bouler,female,2011,3,preschool,female,non-fiction,human,A Mighty Girl
On a Beam of Light: A Story of Albert Einstein,Jennifer Berne,female,2013,4,preschool,male,non-fiction,human,Barnes & Noble
On Meadowview�Street,Henry Cole,male,2007,4,preschool,female,fiction,human,A Mighty Girl
Once Upon a Dime: A Math Adventure,Nancy Kelly Allen,female,1999,6,early elementary,male,fiction,human,Charlesbridge
Once Upon a Marigold,Jean Ferris,female,2002,7,early elementary,male,fiction,human,ALSC
Once Upon a Potty -- Boy,Alona Frankel,female,2007,2,infant/toddler,male,fiction,human,Scottsdale Library
Once Upon a Potty -- Girl,Alona Frankel,female,2007,2,infant/toddler,female,fiction,human,Scottsdale Library
One Beetle Too Many: The Extraordinary Adventures of Charles Darwin,Kathryn Lasky,female,2009,7,early elementary,male,non-fiction,human,Goodreads
One Boy,Laura Vaccaro Seeger,female,2008,2,infant/toddler,male,fiction,human,ALSC
One Came Home,Amy Timberlake,female,2013,10,middle elementary,female,fiction,human,ALSC
One Cool Friend,Toni Buzzeo,female,2012,5,preschool,male,fiction,human,ALSC
One Crazy Summer,Rita Williams-Garcia,female,2010,8,early elementary,female,fiction,human,NYPL
One Day on Our Blue Planet: In the Rainforest,Ella Bailey,female,2017,3,preschool,male,fiction,non-human,Science Friday
One Fox: A Counting Book Thriller,Kate Read,female,2019,2,infant/toddler,male,fiction,non-human,ALSC
One Giant Leap: The Story of Neil Armstrong,Don Brown,male,1998,4,preschool,male,non-fiction,human,Barnes & Noble
One Grain of Rice: A Mathematical Folk Tale,Demi,female,1997,4,preschool,female,fiction,human,A Mighty Girl
One�Love,Cedella Marley,female,2008,5,preschool,female,fiction,human,A Mighty Girl
One Plastic Bag: Isatou Ceesay and the Recycling Women of The Gambia,Miranda Paul,female,2015,5,preschool,female,non-fiction,human,Childhood101
One Special Day,Lola Schafer,female,2012,2,infant/toddler,male,fiction,human,ALSC
One Thousand Tracings: Healing the Wounds of World War II,Lita Judge,female,2007,5,preschool,female,non-fiction,human,ALSC
One Word Pearl,Nicole Groenewg,female,2013,5,preschool,female,fiction,human,Charlesbridge
Only Passing Through: The Story of Sojourner Truth,Anne Rockwell,female,2000,6,early elementary,female,non-fiction,human,ALSC
"Oops, Pounce, Quick, Run!",Mike Twohy,male,2016,3,preschool,male,fiction,non-human,ALSC
Orbiting Jupiter,Gary Schmidt,male,2015,12,late elementary,male,fiction,human,ALSC
Ordinary Hazards: A Memoir,Nikki Grimes,female,2019,12,late elementary,female,non-fiction,human,ALSC
Orphan Island,Laurel Snyder,female,2017,11,late elementary,female,fiction,human,ALSC
Orphan Train Rider: One Boy's True Story,Andrea Warren,female,1996,10,middle elementary,male,non-fiction,human,ALSC
Oscar and the Frog,Geoff Waring,male,2006,4,preschool,male,fiction,non-human,Childhood101
Oscar's Half Birthday,Bob Graham,male,2005,2,infant/toddler,male,fiction,human,ALSC
Osceola: Memories of a Sharecropper's Daughter,Alan Govenar,male,2000,8,early elementary,female,fiction,human,ALSC
Other Words for Home,Jasmine Warga,female,2019,8,early elementary,female,fiction,human,ALSC
Otherwise Known as Sheila the Great,Judy Blume,female,1972,8,early elementary,female,fiction,human,Paperback Swap
Ouch! A Tale from Grimm,Natalie Babbitt,female,1998,4,preschool,male,fiction,human,ALSC
Our Car,J.M. Brum,female,2018,2,infant/toddler,male,fiction,non-human,Bookvine
Our Eleanor: A Scrapbook Look at Eleanor Roosevelt's Remarkable Life,Candace Fleming,female,2005,10,middle elementary,female,non-fiction,human,ALSC
Our Only May Amelia,Jennifer Holm,female,1999,8,early elementary,female,fiction,human,ALSC
Out of My Mind,Sharon Draper,female,2010,10,middle elementary,female,fiction,human,TIME
Out of School and Into Nature: The Anna Comstock�Story,Suzanne Slade,female,2017,6,early elementary,female,non-fiction,human,A Mighty Girl
Out of the Dust,Karen Hesse,female,1997,11,late elementary,female,fiction,human,ALSC
Out of the Woods: A True Story of an Unforgettable Event,Rebecca Bond,female,2015,5,preschool,male,non-fiction,human,Growing Book by Book
Outcasts,David Grimstone,male,2018,9,middle elementary,male,fiction,human,CBSD
Over and Under the Snow,Kate Messner,female,2011,5,preschool,female,fiction,human,ALSC
Over the Ocean,Tar_ Gomi,male,2016,3,preschool,female,fiction,human,ALSC
Owen,Kevin Henkes,male,1993,8,early elementary,male,fiction,non-human,Early Childhood Education Degrees
Owl at Home,Arnold Lobel,male,1975,4,preschool,male,fiction,non-human,Wired
Owl Moon,Jane Yolen,female,1987,4,preschool,female,fiction,human,TIME
Ox-Cart Man,Donald Hall,male,1979,2,infant/toddler,male,fiction,human,Childhood101
Oxford Roald Dahl Thesaurus,Susan Rennie,female,2019,8,early elementary,male,fiction,human,Oxford
P Is For Potty!,Naomi Kleinberg,female,2014,4,preschool,male,fiction,non-human,WCBC
Pale Male: Citizen Hawk of New York City,Janet Schulman,female,2008,3,preschool,male,non-fiction,non-human,ALSC
Pancho Rabbit and the Coyote,Duncan Tonatiuh,male,2013,3,preschool,male,fiction,non-human,Best Products
Papa and Me,Arthur Dorros,male,2008,4,preschool,male,fiction,human,ALSC
Papa's Mechanical Fish,Candace Fleming,female,2013,4,preschool,male,fiction,human,Goodreads
"Paper Son: The Inspiring Story of Tyrus Wong, Immigrant and Artist",Julie Leung,female,2019,4,preschool,male,non-fiction,human,ALSC
Paperboy,Vince Vawter,male,2013,10,middle elementary,male,fiction,human,ALSC
Paradise Life,Victoria Dalpe,female,2017,14,teen,female,fiction,human,CBSD
Parasite Life,Victoria Dalpe,female,2017,14,teen,female,fiction,human,CBSD
Part-time Princess,Deborah Underwood,female,2013,4,preschool,female,fiction,human,Childhood101
Parts,Tedd Arnold,male,1997,3,preschool,male,fiction,human,Childhood101
Pass Go and Collect $200: The Real Story of How Monopoly Was Invented,Tanya Lee Stone,female,2018,5,preschool,female,non-fiction,human,ALSC
Passage to Freedom: The Sugihara Story,Ken Mochizuki,male,1997,6,early elementary,male,non-fiction,human,ALSC
Path to the Stars: My Journey from Girl Scout to Rocket Scientist,Sylvia Acevedo,female,2018,10,middle elementary,female,non-fiction,human,Barnes & Noble
Patina,Jason Reynolds,male,2017,11,late elementary,female,non-fiction,human,ALSC
Paul Joins the Scouts,Michel Rabagliati,male,2011,13,teen,male,fiction,human,CBSD
Paul Up North,Michel Rabagliati,male,2015,13,teen,male,fiction,human,CBSD
Paula�Bunyan,Phyllis Root,female,2009,4,preschool,female,fiction,human,A Mighty Girl
Pax,Sara Pennypacker,female,2016,8,early elementary,male,fiction,non-human,ALSC
Peace at Last,Jill Murphy,female,1980,4,preschool,male,fiction,non-human,Childhood101
Pearl and Wagner: One Funny Day,Kate McMullan,female,2009,5,preschool,male,fiction,non-human,ALSC
Pecan Pie Baby,Jacqueline Woodson,female,2010,5,preschool,female,fiction,human,ALSC
"Peck, Peck, Peck",Lucy Cousins,female,2013,4,preschool,male,fiction,non-human,Bookvine
"Pedro and Me: Friendship, Loss, and What I Learned",Judd Winick,male,2000,14,teen,male,non-fiction,human,ALSC
Peekaboo Bedtime,Rachel Isadora,female,2008,3,preschool,male,fiction,human,Naeyc
